,symbol,stock_val_10,stock_val_11,stock_val_12,stock_val_13,stock_val_14,stock_val_15,stock_val_16,rating,After Tax ROE,Capital Expenditures,Cost of Revenue,Depreciation,Earnings Before Tax,Fixed Assets,Goodwill,Gross Margin,Gross Profit,Investments,Liabilities,Long-Term Debt,Long-Term Investments,Net Borrowings,Net Income,Total Assets,Total Liabilities & Equity,Total Revenue,For Year,Estimated Shares Outstanding
142,EW,26491266.6892,31016088.6839,45761273.98500001,42461233.2914,52862698.755,113999736.3302,130945745.80749999,4,20.0,-102700000.0,617200000.0,65800000.0,622400000.0,482500000.0,628300000.0,75.0,1876500000.0,119600000.0,163900000.0,599900000.0,383500000.0,1900000.0,494900000.0,4059300000.0,4059300000.0,2493700000.0,2015,215173913.043
143,EXC,87256617.90450001,95700239.7934,240453848.0,164088006.0092,207114059.1712,152537833.0,123742989.9734,3,9.0,-7624000000.0,21406000000.0,3987000000.0,3330000000.0,57439000000.0,2672000000.0,27.0,8041000000.0,-260000000.0,-623000000.0,24286000000.0,11739000000.0,4102000000.0,2269000000.0,95384000000.0,95384000000.0,29447000000.0,2015,
144,EXPD,36248938.6722,31408127.233200002,40772093.9691,24864075.0,40331901.9041,30816828.6334,35520271.3293,2,27.0,-44383000.0,4428855000.0,46012000.0,736689000.0,524724000.0,7927000.0,33.0,2187777000.0,40294000.0,-65782000.0,0.0,0.0,0.0,457223000.0,2582438000.0,2582438000.0,6616632000.0,2015,188935123.967
145,EXPE,51193636.0,71473358.0,125411325.9588,82449580.7344,104480641.22399999,167829864.0506,235928253.91730002,4,16.0,-787041000.0,1309559000.0,671206000.0,925962000.0,1064259000.0,7992941000.0,80.0,5362758000.0,-56180000.0,325589000.0,3183140000.0,642802000.0,1441860000.0,764465000.0,15485675000.0,15485675000.0,6672317000.0,2015,130232538.33
146,EXR,7139219.999999999,19282234.0,15149156.583700001,31454258.7466,39494039.3265,51938047.411199994,68311054.2312,4,19.0,-384208000.0,203965000.0,141236000.0,205476000.0,5689309000.0,0.0,74.0,578305000.0,-1242256000.0,12036000.0,3382430000.0,103007000.0,1131857000.0,394950000.0,6071407000.0,6071407000.0,782270000.0,2015,249968354.43
147,F,376391526.4176,288538008.0,1384470255.0,429401470.0,277918100.0,279469514.0,332431141.0,2,26.0,-7196000000.0,131409000000.0,7966000000.0,10252000000.0,57256000000.0,0.0,12.0,18149000000.0,37751000000.0,7758000000.0,89879000000.0,48778000000.0,17148000000.0,7373000000.0,224925000000.0,224925000000.0,149558000000.0,2015,3963978494.62
148,FAST,30314460.0,46959249.076799996,87100218.7342,62627679.3636,37938612.7977,60458502.0,69145164.0,3,29.0,-155168000.0,1920253000.0,86598000.0,826020000.0,818889000.0,0.0,50.0,1948934000.0,0.0,5148000.0,302950000.0,0.0,260000000.0,516361000.0,2532462000.0,2532462000.0,3869187000.0,2015,291729378.531
149,FCX,418921942.0464,324910893.8315,554901856.2252,267859664.195,290002732.4145,165164982.0,220710908.0,2,155.0,-6353000000.0,28524000000.0,3706000000.0,-13982000000.0,36873000000.0,0.0,80.0,-12647000000.0,0.0,-916000000.0,19779000000.0,0.0,1595000000.0,-12156000000.0,46577000000.0,46577000000.0,15877000000.0,2015,1074801061.01
150,FDX,94414453.0302,120855674.8944,133149925.4517,158520806.4104,148340375.4168,217152932.2875,244722656.0571,4,13.0,-4818000000.0,17327000000.0,2631000000.0,2740000000.0,24284000000.0,6747000000.0,66.0,33038000000.0,0.0,121000000.0,13838000000.0,0.0,6478000000.0,1820000000.0,46064000000.0,46064000000.0,50365000000.0,2016,276176024.279
151,FE,74769294.0,74277808.3233,88330747.7696,110651197.99999999,120502500.1812,128027377.0,78143501.47680001,4,5.0,-2704000000.0,6173000000.0,1836000000.0,893000000.0,37214000000.0,6418000000.0,59.0,8853000000.0,-107000000.0,-140000000.0,19389000000.0,2788000000.0,341000000.0,578000000.0,52187000000.0,52187000000.0,15026000000.0,2015,421897810.219
